,brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
1004227,27965.0,for_sale,295000.0,3.0,2.0,0.17,617757.0,Arlington,Texas,76015.0,1647.0,1/3/2006
1004228,22031.0,for_sale,725000.0,4.0,3.0,14.7,988244.0,Cleburne,Texas,76031.0,1784.0,
1004229,70677.0,for_sale,344900.0,3.0,2.0,0.2,1226101.0,Saginaw,Texas,76131.0,1588.0,9/22/2010
1004230,108806.0,for_sale,499000.0,5.0,3.0,0.17,1056514.0,Fort Worth,Texas,76244.0,3030.0,10/3/2013
1004231,98269.0,for_sale,219900.0,1.0,1.0,1.0,389691.0,Aledo,Texas,76008.0,966.0,
1004232,36949.0,for_sale,325000.0,3.0,2.0,0.39,62875.0,Benbrook,Texas,76126.0,1902.0,5/26/1998
1004233,63641.0,for_sale,244900.0,4.0,2.0,0.17,231800.0,Fort Worth,Texas,76104.0,1741.0,
1004234,55565.0,for_sale,175000.0,3.0,1.0,0.51,1165855.0,Mansfield,Texas,76063.0,912.0,
1004235,96201.0,for_sale,360000.0,4.0,4.0,0.18,1656355.0,Fort Worth,Texas,76133.0,2943.0,8/26/2019
1004236,99515.0,for_sale,660000.0,4.0,4.0,0.21,400230.0,Haslet,Texas,76052.0,3381.0,
1004237,16368.0,for_sale,260000.0,2.0,2.0,0.08,209294.0,Hurst,Texas,76053.0,1663.0,4/16/2015
1004238,15901.0,for_sale,420000.0,4.0,3.0,0.23,978620.0,Fort Worth,Texas,76108.0,3227.0,7/1/2015
1004239,49451.0,for_sale,375000.0,5.0,3.0,0.13,1373727.0,Fort Worth,Texas,76135.0,3500.0,3/1/2016
1004240,71247.0,for_sale,241000.0,3.0,1.0,0.16,1325953.0,Burleson,Texas,76028.0,986.0,8/27/2018
1004241,96021.0,for_sale,9825000.0,8.0,13.0,4.83,1802401.0,Southlake,Texas,76092.0,23604.0,
1004242,76441.0,for_sale,265000.0,3.0,2.0,0.2,1320414.0,North Richland Hills,Texas,76180.0,1172.0,6/30/2017
1004243,67594.0,for_sale,350000.0,4.0,2.0,0.13,1375045.0,Fort Worth,Texas,76137.0,1928.0,5/23/2017
1004244,79368.0,for_sale,539000.0,4.0,3.0,0.2,687690.0,Keller,Texas,76248.0,2688.0,12/4/2017
1004245,53016.0,for_sale,395000.0,3.0,2.0,0.14,360016.0,Keller,Texas,76248.0,1696.0,4/7/2010
1004246,74783.0,for_sale,475000.0,4.0,3.0,0.19,1603644.0,Sanger,Texas,76266.0,2868.0,10/28/2015
1004247,52823.0,for_sale,310000.0,3.0,2.0,0.16,1288763.0,Arlington,Texas,76017.0,1660.0,9/18/2013
1004248,15807.0,for_sale,349999.0,3.0,2.0,0.13,215803.0,Fort Worth,Texas,76244.0,1665.0,8/27/2015
1004249,34374.0,for_sale,334900.0,4.0,2.0,0.16,427385.0,Saginaw,Texas,76131.0,1737.0,8/21/2013
1004250,44185.0,for_sale,349990.0,3.0,2.0,0.18,663932.0,Arlington,Texas,76001.0,2141.0,3/4/2004
1004251,22611.0,for_sale,769900.0,4.0,4.0,0.5,1013443.0,Dalworthington Gardens,Texas,76016.0,3258.0,1/19/1993
1004252,49404.0,for_sale,675000.0,4.0,4.0,0.19,1501275.0,Flower Mound,Texas,76226.0,2756.0,7/1/2020
1004253,15901.0,for_sale,1800000.0,5.0,6.0,0.46,1357032.0,Colleyville,Texas,76034.0,7233.0,
1004254,14508.0,for_sale,715000.0,4.0,3.0,0.36,1502194.0,Fort Worth,Texas,76116.0,2805.0,2/27/2019
1004255,97749.0,for_sale,339800.0,3.0,2.0,0.19,1152490.0,Fort Worth,Texas,76137.0,1809.0,11/2/1992
1004256,78465.0,for_sale,799000.0,4.0,3.0,0.34,1523399.0,Colleyville,Texas,76034.0,3426.0,7/13/2011
1004257,43811.0,for_sale,575551.0,5.0,4.0,,901759.0,Arlington,Texas,76001.0,3233.0,
1004258,71247.0,for_sale,497000.0,4.0,3.0,0.13,135140.0,Fort Worth,Texas,76244.0,2449.0,
1004259,10844.0,for_sale,1625000.0,3.0,3.0,0.7,421230.0,Pelican Bay,Texas,76020.0,3390.0,9/21/2018
1004260,32344.0,for_sale,549000.0,4.0,3.0,1.0,709146.0,Springtown,Texas,76082.0,2685.0,11/30/2021
1004261,23721.0,for_sale,499000.0,5.0,3.0,0.11,1341674.0,Fort Worth,Texas,76105.0,2560.0,
1004262,45016.0,for_sale,395900.0,4.0,2.0,0.8,390319.0,Paradise,Texas,76073.0,1704.0,
1004263,60010.0,ready_to_build,379990.0,3.0,,,32023.0,Crowley,Texas,76036.0,2024.0,
1004264,53465.0,for_sale,1500000.0,5.0,5.0,1.0,1349680.0,Northlake,Texas,76226.0,4560.0,
1004265,98390.0,for_sale,219900.0,3.0,2.0,0.26,1299230.0,River Oaks,Texas,76114.0,1202.0,9/14/2018
1004266,43811.0,for_sale,474318.0,5.0,4.0,,1661657.0,Fort Worth,Texas,76179.0,3606.0,
1004267,48790.0,for_sale,299000.0,3.0,2.0,0.16,1489737.0,Fort Worth,Texas,76052.0,1472.0,8/12/2019
1004268,89821.0,for_sale,429000.0,4.0,2.0,0.26,180238.0,Benbrook,Texas,76126.0,2359.0,5/26/2015
1004269,22611.0,for_sale,500000.0,3.0,2.0,5.39,1248801.0,Rhome,Texas,76078.0,1954.0,
1004270,14642.0,for_sale,639900.0,3.0,3.0,2.0,1512660.0,Krum,Texas,76249.0,2741.0,4/17/2018
1004271,73261.0,for_sale,850000.0,5.0,4.0,0.71,700000.0,Keller,Texas,76262.0,3693.0,8/26/1994
1004272,4265.0,for_sale,2850000.0,5.0,7.0,0.82,1752461.0,Keller,Texas,76248.0,5682.0,
1004273,97727.0,for_sale,264000.0,4.0,2.0,0.18,1572399.0,Fort Worth,Texas,76164.0,1320.0,1/31/2020
1004274,71247.0,for_sale,308000.0,3.0,2.0,0.13,1431418.0,Fort Worth,Texas,76179.0,1307.0,8/29/1997
1004275,92786.0,for_sale,349900.0,3.0,2.0,0.25,804908.0,Fort Worth,Texas,76111.0,1560.0,12/31/2020
1004276,55565.0,for_sale,347900.0,3.0,2.0,0.15,1833454.0,Fort Worth,Texas,76131.0,1676.0,9/1/2017
1004277,48805.0,for_sale,79900.0,,,0.47,1673661.0,Lakeside,Texas,76135.0,,
1004278,43811.0,for_sale,460317.0,4.0,4.0,,617727.0,Fort Worth,Texas,76052.0,3201.0,
1004279,43811.0,for_sale,471339.0,5.0,4.0,,1661760.0,Fort Worth,Texas,76179.0,3944.0,
1004280,108070.0,for_sale,74999.0,,,1.56,93775.0,Weatherford,Texas,76085.0,,7/11/2007
1004281,29636.0,for_sale,1275000.0,4.0,5.0,3.24,484577.0,Fort Worth,Texas,76108.0,4961.0,
1004282,84438.0,for_sale,1400000.0,,,134.0,133934.0,Saint Jo,Texas,76265.0,,
1004283,60010.0,ready_to_build,426990.0,4.0,,,32023.0,Crowley,Texas,76036.0,2929.0,
1004284,53465.0,for_sale,589900.0,4.0,3.0,0.19,202555.0,Northlake,Texas,76226.0,2952.0,
1004285,72926.0,for_sale,499000.0,,,4.12,613672.0,Boyd,Texas,76023.0,,
1004286,27030.0,ready_to_build,581990.0,3.0,,,1787738.0,Ft. Worth,Texas,76118.0,2168.0,
1004287,27030.0,ready_to_build,518990.0,3.0,,,1787738.0,Fort Worth,Texas,76118.0,1792.0,
1004288,57595.0,ready_to_build,401999.0,3.0,,,70489.0,Fort Worth,Texas,76247.0,2081.0,
1004289,27030.0,for_sale,673587.0,4.0,2.0,,1632780.0,Fort Worth,Texas,76123.0,2804.0,
1004290,57595.0,ready_to_build,377999.0,4.0,,,70489.0,Fort Worth,Texas,76247.0,1566.0,
1004291,27030.0,for_sale,698290.0,3.0,4.0,,1302349.0,Fort Worth,Texas,76114.0,2949.0,
1004292,43811.0,for_sale,317221.0,3.0,2.0,,882338.0,Fort Worth,Texas,76108.0,1605.0,
1004293,46933.0,for_sale,537670.0,4.0,2.0,,1091598.0,Fort Worth,Texas,76244.0,2007.0,
1004294,97755.0,for_sale,310000.0,3.0,2.0,0.2,1278519.0,Fort Worth,Texas,76132.0,2528.0,
1004295,33745.0,for_sale,225000.0,3.0,2.0,0.2,152178.0,Burleson,Texas,76028.0,1579.0,1/6/2022
1004296,21376.0,for_sale,359900.0,3.0,3.0,0.19,1176723.0,Fort Worth,Texas,76107.0,2096.0,10/12/2007
1004297,94935.0,for_sale,280000.0,3.0,2.0,0.18,1177676.0,Burleson,Texas,76028.0,2014.0,10/10/2017
1004298,92214.0,for_sale,550000.0,3.0,2.0,1.01,243799.0,Springtown,Texas,76082.0,2142.0,4/21/2021
1004299,33968.0,for_sale,430000.0,5.0,3.0,0.4,1490404.0,Arlington,Texas,76016.0,2103.0,
1004300,79368.0,for_sale,325000.0,4.0,3.0,0.24,1559374.0,Fort Worth,Texas,76179.0,2582.0,11/14/2013
1004301,22036.0,for_sale,275000.0,3.0,2.0,0.36,1134194.0,Cleburne,Texas,76031.0,1600.0,6/14/2019
1004302,100989.0,for_sale,239999.0,3.0,1.0,0.15,1440647.0,Haltom City,Texas,76148.0,1189.0,5/3/2010
1004303,71247.0,for_sale,582000.0,4.0,3.0,0.42,666514.0,Arlington,Texas,76017.0,3621.0,5/17/2011
1004304,98136.0,for_sale,255000.0,3.0,2.0,0.16,1225040.0,Saginaw,Texas,76179.0,1313.0,6/5/2018
1004305,109950.0,for_sale,425000.0,4.0,3.0,0.31,1342529.0,Fort Worth,Texas,76112.0,2979.0,4/26/2013
1004306,48790.0,for_sale,290000.0,3.0,2.0,0.22,1559356.0,Fort Worth,Texas,76133.0,1892.0,4/9/2014
1004307,85323.0,for_sale,299000.0,4.0,2.0,0.14,1832468.0,Fort Worth,Texas,76108.0,1846.0,9/8/2017
1004308,102816.0,for_sale,425000.0,5.0,3.0,0.17,1497664.0,Fort Worth,Texas,76108.0,3295.0,6/4/2004
1004309,44642.0,for_sale,440000.0,5.0,4.0,0.14,1624100.0,Fort Worth,Texas,76137.0,2931.0,8/4/2006
1004310,84534.0,for_sale,460000.0,3.0,2.0,0.23,971675.0,Hurst,Texas,76054.0,2324.0,8/14/2019
1004311,78465.0,for_sale,290000.0,3.0,2.0,0.12,1768929.0,Fort Worth,Texas,76244.0,1370.0,10/14/2019
1004312,53635.0,for_sale,399000.0,4.0,3.0,0.15,1345464.0,Haltom City,Texas,76137.0,2554.0,5/30/2019
1004313,33968.0,for_sale,485000.0,5.0,3.0,0.17,1062760.0,Arlington,Texas,76016.0,3374.0,
1004314,38634.0,for_sale,525000.0,4.0,2.0,0.82,246130.0,Weatherford,Texas,76087.0,2658.0,9/22/2015
1004315,30545.0,for_sale,318000.0,3.0,2.0,0.14,284036.0,Crowley,Texas,76036.0,1739.0,4/12/2016
1004316,103237.0,for_sale,325000.0,3.0,2.0,0.17,1778138.0,Saginaw,Texas,76131.0,1605.0,7/6/2017
1004317,84534.0,for_sale,399999.0,3.0,2.0,0.18,1440275.0,Fort Worth,Texas,76179.0,2284.0,
1004318,52823.0,for_sale,445000.0,4.0,3.0,0.18,701778.0,Arlington,Texas,76012.0,2515.0,2/19/2014
1004319,15901.0,for_sale,560000.0,4.0,3.0,0.24,1375595.0,Fort Worth,Texas,76244.0,3260.0,8/19/2019
1004320,22611.0,for_sale,325000.0,4.0,2.0,0.16,1037809.0,Fort Worth,Texas,76131.0,1620.0,9/26/2019
1004321,27966.0,for_sale,1975000.0,5.0,6.0,0.49,622915.0,Southlake,Texas,76092.0,6172.0,10/15/2010
1004322,22036.0,for_sale,475000.0,4.0,3.0,0.21,1691456.0,Aledo,Texas,76008.0,2286.0,6/14/2019
1004323,107083.0,for_sale,650000.0,4.0,4.0,0.26,376210.0,Fort Worth,Texas,76262.0,3239.0,5/22/2019
1004324,74367.0,for_sale,350000.0,4.0,2.0,0.13,1689363.0,Fort Worth,Texas,76131.0,1776.0,
1004325,33745.0,for_sale,405000.0,4.0,2.0,0.13,1601726.0,Fort Worth,Texas,76131.0,2111.0,2/26/2020
1004326,25014.0,for_sale,978000.0,4.0,4.0,0.18,460121.0,Southlake,Texas,76092.0,3578.0,8/31/2007
1004327,23700.0,for_sale,785000.0,4.0,4.0,0.18,832630.0,Trophy Club,Texas,76262.0,3283.0,4/29/2014
1004328,51523.0,for_sale,209900.0,2.0,1.0,0.18,286385.0,Denton,Texas,76205.0,1329.0,
1004329,33968.0,for_sale,320000.0,3.0,3.0,0.16,1488359.0,Fort Worth,Texas,76179.0,2275.0,8/23/2017
1004330,78465.0,for_sale,400000.0,3.0,2.0,0.22,1552428.0,Watauga,Texas,76148.0,2510.0,12/10/2004
1004331,31135.0,for_sale,415000.0,4.0,3.0,0.25,1057030.0,Arlington,Texas,76016.0,2721.0,
1004332,99515.0,for_sale,349900.0,4.0,2.0,1.0,1546619.0,Boyd,Texas,76023.0,1800.0,
1004333,23700.0,for_sale,400000.0,3.0,2.0,0.19,652547.0,Trophy Club,Texas,76262.0,1862.0,12/30/2015
1004334,26227.0,for_sale,305500.0,3.0,2.0,0.13,362384.0,Fort Worth,Texas,76052.0,1510.0,
1004335,22611.0,for_sale,400000.0,4.0,4.0,0.11,1549942.0,Arlington,Texas,76001.0,2785.0,8/5/2019
1004336,94604.0,for_sale,230000.0,3.0,3.0,0.07,851502.0,Arlington,Texas,76015.0,1500.0,4/27/2006
1004337,48808.0,for_sale,850000.0,5.0,4.0,0.2,630846.0,Keller,Texas,76248.0,3177.0,
1004338,75464.0,for_sale,309900.0,3.0,2.0,0.14,1728396.0,Fort Worth,Texas,76131.0,1879.0,5/20/2019
1004339,74367.0,for_sale,375000.0,4.0,3.0,0.14,361774.0,Fort Worth,Texas,76247.0,2450.0,5/24/2019
1004340,52577.0,for_sale,699999.0,3.0,3.0,1.48,323886.0,Justin,Texas,76247.0,3020.0,12/9/2005
1004341,22611.0,for_sale,315000.0,3.0,2.0,0.17,1410469.0,Fort Worth,Texas,76114.0,1502.0,7/30/2003
1004342,21250.0,for_sale,2749000.0,5.0,8.0,0.9,451517.0,Keller,Texas,76262.0,6922.0,3/22/2011
1004343,80553.0,for_sale,335000.0,4.0,2.0,0.12,798538.0,Fort Worth,Texas,76108.0,1980.0,3/27/2019
1004344,65812.0,for_sale,525000.0,3.0,2.0,4.42,1208128.0,Sanger,Texas,76266.0,1824.0,4/7/2015
